Neighbourhood,Listings,Avg_Modes,Avg_CrimeRate_per_1000_2025_est,Duration_to_UBC_mins,Avg_Price_CAD,Median_Price_CAD,PriceScore,CommuteScore,CrimeScore,BaseScore,ModesPenaltyFactor,NeighbourhoodScore
Dunbar-Southlands,12,1.0,10.352464282884444,14.0,1013.75,900.0,64.1025641025641,100.0,100.0,88.03418803418803,1.0,88.03418803418803
South Cambie,1,1.0,33.79619997124532,35.0,625.0,625.0,100.0,62.7669452181987,81.0209142277254,81.26261981530804,1.0,81.26261981530804
Shaughnessy,1,1.0,16.410187373255837,25.0,900.0,900.0,64.1025641025641,81.33704735376045,95.8335481037507,80.42438652002508,1.0,80.42438652002508
West Point Grey,19,1.0,14.243414916364253,15.0,1313.3684210526317,1070.0,32.96703296703297,99.9071494893222,97.6796072225795,76.85126322631156,1.0,76.85126322631156
Oakridge,12,1.0,16.604947116994087,34.0,861.6666666666666,880.0,67.76556776556777,64.62395543175488,95.66761558981034,76.01904626237767,1.0,76.01904626237767
Kensington-Cedar Cottage,3,1.0,23.42245394600096,44.0,778.3333333333334,795.0,83.33333333333334,46.05385329619314,89.85919735496684,73.08212799483111,1.0,73.08212799483111
Sunset,6,2.0,24.67872804541425,34.0,620.0,835.0,76.007326007326,64.62395543175488,88.78886980414622,76.47338374774237,0.92,70.35551304792298
Kitsilano,14,1.0,21.144118370839255,25.0,1075.357142857143,1087.5,29.761904761904766,81.33704735376045,91.80030665368531,67.63308625645017,1.0,67.63308625645017
Hastings-Sunrise,1,1.0,22.270749981846507,84.0,704.0,704.0,100.0,0.0,90.84043264732821,63.613477549109405,1.0,63.613477549109405
Marpole,5,2.0,22.079676346268325,44.0,959.8,950.0,54.94505494505495,46.05385329619314,91.00322464987791,64.00071096370867,0.92,58.880654086611976
Renfrew-Collingwood,22,1.0,35.31648335375275,59.0,908.6363636363636,850.0,73.26007326007327,18.19870009285053,79.72565454664753,57.06147596652378,1.0,57.06147596652378
Fairview,3,1.0,34.62465584272648,33.0,1176.6666666666667,1130.0,21.978021978021978,66.48096564531104,80.31508168345857,56.25802310226387,1.0,56.25802310226387
Victoria-Fraserview,4,2.0,11.581347627200088,53.0,1082.5,997.5,46.24542124542125,29.340761374187572,99.94765044902303,58.51127768954395,0.92,53.83037547438044
Kerrisdale,3,1.0,18.63239378861745,33.0,1156.6666666666667,1250.0,0.0,66.48096564531104,93.94026004576824,53.47374189702643,1.0,53.47374189702643
Grandview-Woodland,6,1.0,38.437729905448826,68.0,883.8333333333334,839.0,75.27472527472527,1.4856081708449653,77.06639716106235,51.27557686887753,1.0,51.27557686887753
Mount Pleasant,2,1.0,42.67540934979328,52.0,1025.0,1025.0,41.208791208791204,31.197771587743752,73.45595493118087,48.62083924257195,1.0,48.62083924257195
Killarney,2,1.0,12.065037022924049,52.0,1200.0,1200.0,9.157509157509159,31.197771587743752,99.53555400723145,46.63027825082812,1.0,46.63027825082812
Downtown,65,2.0,128.0642801233793,45.0,1116.7384615384615,1000.0,45.78754578754579,44.19684308263696,0.7058592592939172,30.230082709825556,0.92,27.811676093039512
West End,8,3.0,45.751567643018106,56.0,1321.25,1280.0,0.0,23.769730733519058,70.83511209643522,31.53494760998476,0.84,26.489355992387196
Strathcona,5,2.0,144.63402467684975,67.0,1020.0,1000.0,45.78754578754579,3.3426183844011303,0.0,16.37672139064897,0.92,15.066583679397054
,87,,,,1042.0689655172414,950.0,54.94505494505495,,,54.94505494505495,,
