Property,Rooms,Price_CAD,Neighbourhood,Municipality,city,CrimeRate_per_1000_2025_est,Incidents_2025,Population_2025_est,lat,lon
"Bright Private Room – All Included, 5min to SkyTrain (Zone 1)",1.0,1300,,Vancouver,City of Vancouver,,,,,
1 bedroom to rent in Downtown Richmond location,1.0,1100,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
fully furnished private bedroom in a luxury house,,799,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
#1 411 7th Street \*\*Room In Big Heritage House With Roomates\*\*,1.0,1095,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
"FURNISHED ROOM in 3 BEDROOM SUITE. GREAT LOCATION for SFU,BCIT, DT",3.0,800,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Room available for rent,1.0,900,,Vancouver,City of Vancouver,,,,,
Big upstairs room in Brentwood close to downtown,1.0,880,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Wesbrook UBC- Private bedroom/bathroom available,,850,West Point Grey,Vancouver,City of Vancouver,14.243414916364252,198.0,13901.160723227818,49.266,-123.206
The Wesbrook UBC- Private bedroom/bathroom available,,850,West Point Grey,Vancouver,City of Vancouver,14.243414916364252,198.0,13901.160723227818,49.266,-123.206
BIG BEAUTIFUL SHARE HOME 7 MIN WALK TO SKYTRAIN 35 MINS TO DOWNTOWN,,975,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
$2800-2 BDRM Basement Lord Byng /5min Dr to UBC （2 months free rent),2.0,2800,West Point Grey,Vancouver,City of Vancouver,14.243414916364252,198.0,13901.160723227818,49.266,-123.206
$500 / 1br - One bedroom available close to Langara in vancouver,1.0,500,Oakridge,Vancouver,City of Vancouver,16.604947116994087,258.0,15537.53819161241,49.229,-123.116
